TIME,SPEED
1.508,191.6049
1.510,191.5936
1.512,191.5824
1.514,191.5712
1.516,191.5599
1.518,191.5487
1.520,191.5375
1.522,191.5262
1.524,191.5150
1.526,191.5038
1.528,191.4926
1.530,191.4814
1.532,191.4701
1.534,191.4589
1.536,191.4477
1.538,191.4365
1.540,191.4253
1.542,191.4140
1.544,191.4028
1.546,191.3916
1.548,191.3804
1.550,191.3692
1.552,191.3580
1.554,191.3468
1.556,191.3356
1.558,191.3244
1.560,191.3132
1.562,191.3020
1.564,191.2908
1.566,191.2796
1.568,191.2684
1.570,191.2572
1.572,191.2460
1.574,191.2348
1.576,191.2236
1.578,191.2124
1.580,191.2012
1.582,191.1900
1.584,191.1789
1.586,191.1677
1.588,191.1565
1.590,191.1453
1.592,191.1341
1.594,191.1230
1.596,191.1118
1.598,191.1006
1.600,191.0894
1.602,191.0782
1.604,191.0671
1.606,191.0559
1.608,191.0447
1.610,191.0335
1.612,191.0224
1.614,191.0112
1.616,191.0000
1.618,190.9888
1.620,190.9777
1.622,190.9665
1.624,190.9553
1.626,190.9442
1.628,190.9330
1.630,190.9218
1.632,190.9107
1.634,190.8995
1.636,190.8883
1.638,190.8772
1.640,190.8660
1.642,190.8549
1.644,190.8437
1.646,190.8325
1.648,190.8214
1.650,190.8102
1.652,190.7991
1.654,190.7879
1.656,190.7767
1.658,190.7656
1.660,190.7544
1.662,190.7433
1.664,190.7321
1.666,190.7210
1.668,190.7099
1.670,190.6987
1.672,190.6876
1.674,190.6765
1.676,190.6653
1.678,190.6542
1.680,190.6430
1.682,190.6319
1.684,190.6208
1.686,190.6096
1.688,190.5985
1.690,190.5874
1.692,190.5762
1.694,190.5651
1.696,190.5540
1.698,190.5429
1.700,190.5317
1.702,190.5206
1.704,190.5095
1.706,190.4984
1.708,190.4873
1.710,190.4761
1.712,190.4650
1.714,190.4539
1.716,190.4428
1.718,190.4317
1.720,190.4205
1.722,190.4094
1.724,190.3983
1.726,190.3872
1.728,190.3761
1.730,190.3650
1.732,190.3539
1.734,190.3428
1.736,190.3317
1.738,190.3206
1.740,190.3095
1.742,190.2984
1.744,190.2873
1.746,190.2762
1.748,190.2651
1.750,190.2540
1.752,190.2429
1.754,190.2318
1.756,190.2207
1.758,190.2096
1.760,190.1985
1.762,190.1875
1.764,190.1764
1.766,190.1653
1.768,190.1542
1.770,190.1431
1.772,190.1320
1.774,190.1210
1.776,190.1099
1.778,190.0988
1.780,190.0878
1.782,190.0767
1.784,190.0656
1.786,190.0545
1.788,190.0434
1.790,190.0324
1.792,190.0213
1.794,190.0102
1.796,189.9991
1.798,189.9881
1.800,189.9770
1.802,189.9660
1.804,189.9549
1.806,189.9438
1.808,189.9328
1.810,189.9217
1.812,189.9106
1.814,189.8996
1.816,189.8885
1.818,189.8775
1.820,189.8664
1.822,189.8553
1.824,189.8443
1.826,189.8332
1.828,189.8222
1.830,189.8111
1.832,189.8001
1.834,189.7890
1.836,189.7780
1.838,189.7669
1.840,189.7559
1.842,189.7448
1.844,189.7338
1.846,189.7228
1.848,189.7117
1.850,189.7007
1.852,189.6896
1.854,189.6786
1.856,189.6676
1.858,189.6565
1.860,189.6455
1.862,189.6345
1.864,189.6234
1.866,189.6124
1.868,189.6014
1.870,189.5904
1.872,189.5793
1.874,189.5683
1.876,189.5573
1.878,189.5463
1.880,189.5353
1.882,189.5242
1.884,189.5132
1.886,189.5022
1.888,189.4912
1.890,189.4802
1.892,189.4692
1.894,189.4581
1.896,189.4471
1.898,189.4361
1.900,189.4251
1.902,189.4141
1.904,189.4031
1.906,189.3921
1.908,189.3811
1.910,189.3701
1.912,189.3591
1.914,189.3481
1.916,189.3371
1.918,189.3261
1.920,189.3151
1.922,189.3041
1.924,189.2931
1.926,189.2821
1.928,189.2711
1.930,189.2601
1.932,189.2491
1.934,189.2381
1.936,189.2271
1.938,189.2161
1.940,189.2051
1.942,189.1942
1.944,189.1832
1.946,189.1722
1.948,189.1612
1.950,189.1502
1.952,189.1392
1.954,189.1282
1.956,189.1172
1.958,189.1063
1.960,189.0953
1.962,189.0843
1.964,189.0734
1.966,189.0624
1.968,189.0514
1.970,189.0404
1.972,189.0295
1.974,189.0185
1.976,189.0075
1.978,188.9966
1.980,188.9856
1.982,188.9746
1.984,188.9637
1.986,188.9527
1.988,188.9418
1.990,188.9308
1.992,188.9198
1.994,188.9089
1.996,188.8979
1.998,188.8869
2.000,188.8760
2.002,188.8650
2.004,188.8541
2.006,188.8431
2.008,188.8322
2.010,188.8212
2.012,188.8103
2.014,188.7993
2.016,188.7884
2.018,188.7774
2.020,188.7665
2.022,188.7555
2.024,188.7446
2.026,188.7337
2.028,188.7227
2.030,188.7118
2.032,188.7009
2.034,188.6899
2.036,188.6790
2.038,188.6680
2.040,188.6571
2.042,188.6462
2.044,188.6353
2.046,188.6243
2.048,188.6134
2.050,188.6024
2.052,188.5915
2.054,188.5806
2.056,188.5697
2.058,188.5588
2.060,188.5478
2.062,188.5369
2.064,188.5260
2.066,188.5151
2.068,188.5042
2.070,188.4932
2.072,188.4823
2.074,188.4714
2.076,188.4605
2.078,188.4496
2.080,188.4387
2.082,188.4277
2.084,188.4168
2.086,188.4059
2.088,188.3950
2.090,188.3841
2.092,188.3732
2.094,188.3623
2.096,188.3514
2.098,188.3405
2.100,188.3296
2.102,188.3187
2.104,188.3078
2.106,188.2969
2.108,188.2861
2.110,188.2752
2.112,188.2643
2.114,188.2534
2.116,188.2425
2.118,188.2316
2.120,188.2207
2.122,188.2098
2.124,188.1990
2.126,188.1881
2.128,188.1772
2.130,188.1663
2.132,188.1554
2.134,188.1445
2.136,188.1337
2.138,188.1228
2.140,188.1119
2.142,188.1010
2.144,188.0901
2.146,188.0793
2.148,188.0684
2.150,188.0575
2.152,188.0467
2.154,188.0358
2.156,188.0249
2.158,188.0140
2.160,188.0032
2.162,187.9923
2.164,187.9814
2.166,187.9706
2.168,187.9597
2.170,187.9488
2.172,187.9380
2.174,187.9271
2.176,187.9163
2.178,187.9054
2.180,187.8945
2.182,187.8837
2.184,187.8728
2.186,187.8620
2.188,187.8511
2.190,187.8403
2.192,187.8294
2.194,187.8186
2.196,187.8077
2.198,187.7969
2.200,187.7860
2.202,187.7752
2.204,187.7643
2.206,187.7535
2.208,187.7427
2.210,187.7318
2.212,187.7210
2.214,187.7102
2.216,187.6993
2.218,187.6885
2.220,187.6777
2.222,187.6668
2.224,187.6560
2.226,187.6452
2.228,187.6343
2.230,187.6235
2.232,187.6127
2.234,187.6019
2.236,187.5910
2.238,187.5802
2.240,187.5694
2.242,187.5585
2.244,187.5477
2.246,187.5369
2.248,187.5261
2.250,187.5153
2.252,187.5045
2.254,187.4937
2.256,187.4828
2.258,187.4720
2.260,187.4612
2.262,187.4504
2.264,187.4396
2.266,187.4288
2.268,187.4180
2.270,187.4072
2.272,187.3964
2.274,187.3856
2.276,187.3748
2.278,187.3640
2.280,187.3532
2.282,187.3423
2.284,187.3315
2.286,187.3207
2.288,187.3099
2.290,187.2991
2.292,187.2884
2.294,187.2776
2.296,187.2668
2.298,187.2560
2.300,187.2452
2.302,187.2344
2.304,187.2236
2.306,187.2128
2.308,187.2020
2.310,187.1912
2.312,187.1805
2.314,187.1697
2.316,187.1589
2.318,187.1481
2.320,187.1373
2.322,187.1266
2.324,187.1158
2.326,187.1050
2.328,187.0942
2.330,187.0835
2.332,187.0727
2.334,187.0619
2.336,187.0512
2.338,187.0404
2.340,187.0296
2.342,187.0189
