x;y;u;v;column;row
0.8621;0.5789;0.8777;0.6133;25;11
0.8966;0.5789;0.9160;0.6120;26;11
0.9310;0.5789;0.9555;0.6105;27;11
0.9655;0.5789;0.9964;0.6088;28;11
1.0000;0.5789;1.0388;0.6070;29;11
0.0000;0.6316;0.0165;0.6533;0;12
0.0345;0.6316;0.0568;0.6550;1;12
0.0690;0.6316;0.0959;0.6566;2;12
0.1034;0.6316;0.1338;0.6581;3;12
0.1379;0.6316;0.1706;0.6594;4;12
0.1724;0.6316;0.2065;0.6606;5;12
0.2069;0.6316;0.2417;0.6617;6;12
0.2414;0.6316;0.2760;0.6627;7;12
0.2759;0.6316;0.3098;0.6637;8;12
0.3103;0.6316;0.3431;0.6645;9;12
0.3448;0.6316;0.3760;0.6652;10;12
0.3793;0.6316;0.4085;0.6658;11;12
0.4138;0.6316;0.4408;0.6663;12;12
0.4483;0.6316;0.4729;0.6668;13;12
0.4828;0.6316;0.5049;0.6671;14;12
0.5172;0.6316;0.5370;0.6674;15;12
0.5517;0.6316;0.5691;0.6675;16;12
0.5862;0.6316;0.6014;0.6676;17;12
0.6207;0.6316;0.6340;0.6676;18;12
0.6552;0.6316;0.6670;0.6675;19;12
0.6897;0.6316;0.7004;0.6674;20;12
0.7241;0.6316;0.7343;0.6671;21;12
0.7586;0.6316;0.7689;0.6667;22;12
0.7931;0.6316;0.8043;0.6663;23;12
0.8276;0.6316;0.8405;0.6657;24;12
0.8621;0.6316;0.8777;0.6651;25;12
0.8966;0.6316;0.9160;0.6643;26;12
0.9310;0.6316;0.9555;0.6635;27;12
0.9655;0.6316;0.9964;0.6625;28;12
1.0000;0.6316;1.0388;0.6614;29;12
0.0000;0.6842;0.0165;0.7064;0;13
0.0345;0.6842;0.0568;0.7075;1;13
0.0690;0.6842;0.0959;0.7085;2;13
0.1034;0.6842;0.1338;0.7094;3;13
0.1379;0.6842;0.1706;0.7103;4;13
0.1724;0.6842;0.2065;0.7111;5;13
0.2069;0.6842;0.2417;0.7118;6;13
0.2414;0.6842;0.2760;0.7125;7;13
0.2759;0.6842;0.3098;0.7132;8;13
0.3103;0.6842;0.3431;0.7138;9;13
0.3448;0.6842;0.3760;0.7143;10;13
0.3793;0.6842;0.4085;0.7148;11;13
0.4138;0.6842;0.4408;0.7152;12;13
0.4483;0.6842;0.4729;0.7156;13;13
0.4828;0.6842;0.5049;0.7160;14;13
0.5172;0.6842;0.5370;0.7163;15;13
0.5517;0.6842;0.5691;0.7165;16;13
0.5862;0.6842;0.6014;0.7167;17;13
0.6207;0.6842;0.6340;0.7169;18;13
0.6552;0.6842;0.6670;0.7170;19;13
0.6897;0.6842;0.7004;0.7171;20;13
0.7241;0.6842;0.7343;0.7172;21;13
0.7586;0.6842;0.7689;0.7172;22;13
0.7931;0.6842;0.8043;0.7171;23;13
0.8276;0.6842;0.8405;0.7170;24;13
0.8621;0.6842;0.8777;0.7169;25;13
0.8966;0.6842;0.9160;0.7167;26;13
0.9310;0.6842;0.9555;0.7165;27;13
0.9655;0.6842;0.9964;0.7162;28;13
1.0000;0.6842;1.0388;0.7159;29;13
0.0000;0.7368;0.0165;0.7594;0;14
0.0345;0.7368;0.0568;0.7599;1;14
0.0690;0.7368;0.0959;0.7603;2;14
0.1034;0.7368;0.1338;0.7607;3;14
0.1379;0.7368;0.1706;0.7612;4;14
0.1724;0.7368;0.2065;0.7616;5;14
0.2069;0.7368;0.2417;0.7619;6;14
0.2414;0.7368;0.2760;0.7623;7;14
0.2759;0.7368;0.3098;0.7627;8;14
0.3103;0.7368;0.3431;0.7631;9;14
0.3448;0.7368;0.3760;0.7634;10;14
0.3793;0.7368;0.4085;0.7638;11;14
0.4138;0.7368;0.4408;0.7641;12;14
0.4483;0.7368;0.4729;0.7645;13;14
0.4828;0.7368;0.5049;0.7648;14;14
0.5172;0.7368;0.5370;0.7651;15;14
0.5517;0.7368;0.5691;0.7655;16;14
0.5862;0.7368;0.6014;0.7658;17;14
0.6207;0.7368;0.6340;0.7662;18;14
0.6552;0.7368;0.6670;0.7665;19;14
0.6897;0.7368;0.7004;0.7669;20;14
0.7241;0.7368;0.7343;0.7672;21;14
0.7586;0.7368;0.7689;0.7676;22;14
